Personality,Time_spent_Alone
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Introvert,0.0
Extrovert,0.0
Introvert,0.0
Extrovert,0.0
Introvert,0.0
Extrovert,0.0
Introvert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Introvert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Introvert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Introvert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
Extrovert,0.0
